,id,carat,cut,color,clarity,depth,table,x,y,z,price
662,662,0.9,Very Good,F,SI1,63.5,56.0,6.1,6.13,3.88,4133
4476,4476,1.52,Premium,F,VS2,62.8,60.0,7.33,7.32,4.6,14687
8983,8983,0.3,Ideal,G,IF,62.2,55.0,4.29,4.32,2.68,863
8077,8077,0.73,Ideal,I,VS2,61.9,55.0,5.82,5.79,3.58,2422
2988,2988,0.3,Premium,F,SI2,61.7,58.0,4.26,4.29,2.64,394
1119,1119,0.3,Premium,E,VS2,62.5,58.0,4.29,4.26,2.67,844
2776,2776,0.5,Premium,E,SI2,62.4,59.0,5.07,5.06,3.16,1185
9836,9836,1.04,Ideal,H,SI1,62.6,57.0,6.43,6.5,4.05,5174
5003,5003,0.68,Very Good,F,VS1,61.3,56.0,5.64,5.68,3.47,2724
6649,6649,0.23,Very Good,E,VVS2,61.1,61.0,4.01,4.0,2.43,458
7254,7254,2.04,Premium,F,SI2,61.8,59.0,8.13,8.18,5.04,18242
4427,4427,0.51,Very Good,H,VS2,63.1,58.0,5.1,5.04,3.2,1437
7431,7431,0.3,Ideal,G,VVS2,62.0,55.0,4.31,4.33,2.68,677
3981,3981,0.5,Very Good,E,VS2,60.8,60.0,5.12,5.13,3.13,1433
6351,6351,1.01,Very Good,E,SI2,62.5,59.0,6.34,6.37,3.97,4361
2893,2893,1.02,Very Good,D,SI1,61.0,63.0,6.53,6.5,3.96,4515
2669,2669,0.45,Premium,E,SI2,58.8,58.0,5.04,5.02,2.97,1346
3977,3977,0.51,Ideal,G,VVS1,62.1,56.0,5.1,5.16,3.18,2061
5259,5259,0.36,Ideal,E,VVS2,61.3,55.0,4.6,4.63,2.83,842
279,279,0.27,Ideal,E,VS1,62.1,56.0,4.11,4.15,2.56,470
6730,6730,1.03,Very Good,E,SI1,63.2,56.0,6.43,6.47,4.07,5477
6104,6104,1.01,Premium,E,SI2,60.9,58.0,6.51,6.5,3.96,4919
7020,7020,0.41,Very Good,D,SI1,62.5,57.0,4.69,4.73,2.94,795
1694,1694,0.54,Ideal,F,SI2,62.2,54.0,5.2,5.24,3.25,1252
8913,8913,1.03,Ideal,F,VS2,62.4,56.0,6.44,6.48,4.04,7062
3479,3479,0.33,Ideal,G,VS1,62.1,55.0,4.44,4.39,2.74,854
4416,4416,1.0,Fair,D,SI1,57.2,65.0,6.54,6.49,3.76,4438
7592,7592,2.01,Ideal,I,VS2,60.3,57.0,8.14,8.06,4.89,15939
6282,6282,0.32,Ideal,E,VVS1,61.7,56.0,4.43,4.4,2.72,956
5603,5603,1.5,Premium,G,SI2,62.7,59.0,7.31,7.28,4.58,9072
8620,8620,0.3,Ideal,D,VS1,61.8,57.0,4.3,4.32,2.66,685
7780,7780,1.01,Ideal,F,VVS2,62.0,54.0,6.41,6.45,3.98,8366
4296,4296,0.41,Premium,D,VVS2,62.1,56.0,4.75,4.72,2.94,1356
4593,4593,1.51,Premium,E,VS2,62.2,59.0,7.2,7.36,4.52,14844
4844,4844,0.43,Premium,H,SI1,62.7,58.0,4.79,4.85,3.02,716
2209,2209,0.37,Ideal,E,VS1,61.1,55.0,4.68,4.63,2.85,999
7605,7605,0.8,Very Good,F,SI2,63.2,56.0,5.88,5.85,3.7,2756
5501,5501,1.09,Premium,D,SI2,61.2,60.0,6.64,6.59,4.04,4588
184,184,0.77,Ideal,F,VS1,62.0,57.0,5.91,5.87,3.65,3585
4800,4800,0.24,Very Good,F,VS1,61.7,59.0,3.96,3.98,2.44,373
4845,4845,0.4,Premium,D,SI1,61.1,59.0,4.76,4.72,2.89,1032
2350,2350,1.06,Ideal,G,VS2,61.6,57.0,6.56,6.51,4.03,6309
553,553,2.01,Good,I,VS2,63.6,59.0,7.95,7.89,5.04,16316
1397,1397,1.26,Ideal,F,VVS1,61.3,55.0,7.03,6.99,4.29,15014
1384,1384,0.33,Ideal,D,VS1,60.7,56.0,4.5,4.47,2.73,1069
9624,9624,1.02,Very Good,E,SI2,62.3,57.0,6.4,6.43,4.0,4787
9818,9818,1.01,Very Good,G,SI2,61.8,59.0,6.47,6.42,3.98,4509
297,297,0.38,Premium,E,VS2,61.5,59.0,4.66,4.63,2.85,958
443,443,0.82,Ideal,F,SI1,61.3,56.0,6.01,6.04,3.7,3444
7338,7338,1.1,Very Good,G,SI1,63.5,56.0,6.6,6.53,4.17,5428
2077,2077,0.32,Premium,G,VS2,62.4,58.0,4.38,4.38,2.73,561
7815,7815,1.2,Very Good,F,VS2,60.8,56.0,6.84,6.89,4.18,9541
2229,2229,1.03,Premium,G,SI2,60.3,60.0,6.54,6.57,3.95,4744
2842,2842,0.32,Ideal,G,IF,61.4,56.0,4.44,4.41,2.72,918
2537,2537,1.17,Ideal,J,SI1,61.3,55.0,6.79,6.83,4.18,5125
8145,8145,0.7,Ideal,G,VS1,61.9,55.0,5.7,5.73,3.54,3065
9537,9537,1.01,Very Good,G,SI1,62.8,56.0,6.36,6.38,4.0,4704
6443,6443,1.0,Good,G,SI2,63.8,57.0,6.34,6.28,4.03,3142
3367,3367,0.41,Premium,F,VS2,61.4,58.0,4.76,4.79,2.93,958
4486,4486,0.7,Premium,J,SI2,62.4,60.0,5.67,5.64,3.54,1944
2578,2578,0.41,Premium,E,VS1,60.4,58.0,4.77,4.82,2.9,1079
1131,1131,0.73,Very Good,H,SI1,61.7,57.0,5.75,5.8,3.56,2600
4818,4818,0.32,Premium,G,VS2,62.8,56.0,4.4,4.37,2.75,720
320,320,0.55,Ideal,F,SI2,60.9,57.0,5.3,5.34,3.23,1069
1371,1371,2.14,Ideal,H,SI2,61.9,57.0,8.21,8.26,5.09,14579
4042,4042,1.01,Premium,H,SI1,62.1,58.0,6.38,6.43,3.97,5131
9126,9126,1.01,Good,F,VS2,63.1,56.0,6.38,6.35,4.01,5700
5145,5145,1.01,Very Good,F,VVS1,62.4,57.0,6.36,6.43,3.99,9810
907,907,0.53,Ideal,F,VS1,61.4,56.0,5.21,5.24,3.21,1875
9562,9562,0.53,Ideal,E,VS2,62.2,55.0,5.18,5.16,3.22,1607
3950,3950,0.31,Ideal,G,VVS2,62.2,54.0,4.34,4.4,2.72,775
6145,6145,0.78,Ideal,E,SI1,62.7,56.0,5.87,5.82,3.67,3047
8887,8887,0.56,Good,F,SI1,61.0,61.0,5.31,5.35,3.24,1286
6695,6695,2.01,Premium,I,VS2,60.2,60.0,8.25,8.2,4.94,16861
4977,4977,0.33,Ideal,F,VVS1,61.6,56.0,4.46,4.45,2.74,979
6092,6092,0.51,Ideal,E,SI2,62.3,55.0,5.11,5.07,3.17,1196
8408,8408,1.5,Premium,H,VS2,60.3,58.0,7.44,7.39,4.46,7500
926,926,0.33,Good,E,SI1,63.1,57.0,4.37,4.41,2.76,579
6143,6143,1.59,Ideal,H,SI2,61.1,56.0,7.49,7.53,4.59,8210
15,15,0.33,Premium,E,VS2,61.7,59.0,4.39,4.43,2.72,723
143,143,0.52,Premium,J,SI2,58.1,59.0,5.26,5.31,3.05,923
2363,2363,0.71,Ideal,E,SI1,60.9,56.0,5.77,5.78,3.52,2782
129,129,0.7,Ideal,H,VS2,61.2,55.0,5.72,5.75,3.52,2574
1161,1161,1.05,Ideal,E,SI1,62.8,57.0,6.47,6.52,4.07,6098
7551,7551,0.79,Ideal,G,SI2,62.4,55.0,5.9,5.92,3.69,2185
6129,6129,0.34,Ideal,H,VS2,61.5,56.0,4.5,4.53,2.77,539
4665,4665,1.23,Ideal,G,IF,62.4,54.0,6.91,6.86,4.29,11666
5660,5660,0.31,Premium,D,VS1,59.8,60.0,4.41,4.39,2.63,877
6460,6460,0.31,Ideal,G,IF,62.0,55.0,4.35,4.37,2.7,891
1876,1876,0.72,Ideal,I,VS1,61.4,56.0,5.83,5.77,3.56,2375
2488,2488,0.3,Ideal,E,VVS1,62.3,56.0,4.3,4.32,2.68,862
5327,5327,2.07,Ideal,G,SI2,61.2,56.0,8.25,8.19,5.03,16297
9362,9362,1.01,Ideal,F,SI2,62.1,57.0,6.37,6.43,3.98,3950
1182,1182,0.77,Ideal,G,SI1,60.3,57.0,5.92,5.97,3.58,3089
6135,6135,0.41,Premium,F,VVS2,62.9,58.0,4.75,4.72,2.98,1186
6377,6377,2.05,Premium,G,SI2,62.3,61.0,8.15,8.09,5.05,16064
1170,1170,0.52,Premium,D,VS2,62.3,58.0,5.17,5.13,3.2,1792
2182,2182,0.35,Ideal,G,VS1,61.8,55.0,4.53,4.56,2.81,706
3371,3371,0.77,Ideal,F,SI2,62.2,56.0,5.83,5.87,3.64,2399
8040,8040,0.71,Very Good,F,SI1,63.1,58.0,5.67,5.65,3.57,2456
1859,1859,1.59,Premium,H,VS2,62.4,58.0,7.51,7.46,4.67,10819
4860,4860,0.41,Very Good,F,VVS2,60.0,56.0,4.85,4.81,2.89,1192
9256,9256,0.75,Fair,H,VS2,64.7,56.0,5.66,5.64,3.66,2415
8345,8345,0.32,Premium,G,VS2,62.3,60.0,4.29,4.33,2.69,505
7347,7347,1.09,Ideal,G,VS1,60.9,56.0,6.65,6.72,4.08,7203
4864,4864,1.12,Ideal,H,SI2,62.5,54.0,6.65,6.62,4.15,4966
9887,9887,0.74,Premium,F,VS2,62.2,59.0,5.74,5.71,3.57,2952
6388,6388,1.22,Premium,G,SI1,59.4,58.0,6.96,6.9,4.13,6492
3121,3121,0.73,Ideal,H,SI1,63.0,57.0,5.77,5.74,3.62,2360
387,387,0.35,Premium,F,VS2,59.8,58.0,4.55,4.59,2.72,746
7785,7785,0.54,Ideal,H,VS2,61.4,56.0,5.22,5.25,3.21,1395
1032,1032,0.25,Ideal,G,VS1,61.1,56.0,4.11,4.13,2.52,436
7852,7852,0.3,Premium,G,VVS2,60.8,59.0,4.33,4.29,2.62,878
5418,5418,0.3,Ideal,H,VS2,60.6,56.0,4.36,4.35,2.64,608
931,931,0.82,Ideal,I,SI1,62.4,55.0,5.92,5.97,3.71,2701
4019,4019,0.7,Fair,D,SI2,64.6,59.0,5.59,5.55,3.59,2382
691,691,0.54,Ideal,H,SI1,61.7,56.0,5.22,5.26,3.23,1219
5298,5298,0.33,Ideal,I,SI1,59.3,57.0,4.52,4.55,2.68,463
6658,6658,0.31,Ideal,F,VVS1,61.1,56.0,4.36,4.39,2.68,896
829,829,0.3,Ideal,I,VS2,61.0,56.0,4.33,4.36,2.65,407
3498,3498,1.02,Good,F,VVS1,63.4,56.0,6.33,6.36,4.02,9301
2081,2081,0.54,Ideal,G,VS2,61.6,55.0,5.27,5.25,3.24,1656
9441,9441,0.57,Premium,D,SI1,60.5,57.0,5.38,5.33,3.24,1848
44,44,1.0,Premium,E,SI1,62.7,60.0,6.43,6.39,4.02,5105
3939,3939,0.34,Premium,H,VS1,62.8,58.0,4.48,4.44,2.81,684
5257,5257,0.72,Very Good,E,VS2,60.8,60.0,5.79,5.83,3.55,2822
8437,8437,0.43,Good,F,SI1,63.2,57.0,4.83,4.8,3.04,792
4319,4319,1.02,Premium,E,VS2,60.5,59.0,6.52,6.49,3.94,5293
2965,2965,0.52,Ideal,F,VS2,62.2,56.0,5.15,5.18,3.22,1654
3969,3969,0.4,Very Good,G,SI1,62.5,58.0,4.66,4.69,2.92,666
1187,1187,1.06,Very Good,F,SI2,61.2,59.0,6.6,6.56,4.03,4936
284,284,2.25,Ideal,H,SI2,61.7,56.0,8.34,8.39,5.16,17186
8874,8874,0.7,Premium,F,SI1,60.0,62.0,5.78,5.74,3.46,2671
4159,4159,0.5,Very Good,G,VS2,61.4,57.0,5.09,5.15,3.15,1358
3092,3092,1.14,Ideal,D,VS2,62.1,54.0,6.73,6.71,4.17,8256
4556,4556,0.51,Ideal,E,SI1,62.2,53.0,5.17,5.19,3.22,1318
4584,4584,0.3,Very Good,I,VVS1,59.2,59.0,4.31,4.35,2.56,608
4323,4323,0.7,Premium,G,SI1,61.6,60.0,5.7,5.73,3.51,2368
5504,5504,1.19,Premium,H,SI2,60.8,60.0,6.8,6.85,4.14,4845
7074,7074,2.0,Very Good,G,SI2,64.6,55.0,7.98,7.84,5.12,15658
3364,3364,1.52,Premium,G,VS1,60.5,58.0,7.45,7.49,4.52,11524
8025,8025,1.11,Premium,F,SI1,62.0,58.0,6.62,6.69,4.12,6757
3195,3195,1.03,Good,E,SI2,64.2,59.0,6.3,6.32,4.05,3876
8811,8811,0.77,Premium,G,VS2,60.6,59.0,5.92,5.97,3.61,3451
969,969,0.52,Ideal,G,VS1,62.5,57.0,5.15,5.11,3.2,1624
3734,3734,0.91,Fair,G,SI2,64.4,61.0,6.01,6.04,3.87,3225
925,925,0.46,Fair,H,SI1,65.4,56.0,4.85,4.82,3.18,1016
9497,9497,0.71,Ideal,F,VS2,61.8,58.0,5.72,5.74,3.54,2942
6451,6451,0.5,Very Good,D,VS2,61.6,58.0,5.06,5.08,3.12,1752
8798,8798,0.71,Ideal,I,VS2,61.8,56.0,5.71,5.73,3.54,2277
2851,2851,0.3,Ideal,G,VVS1,61.8,54.0,4.33,4.36,2.68,764
5180,5180,1.23,Premium,I,SI1,62.4,58.0,6.82,6.77,4.25,5016
6723,6723,1.36,Ideal,F,VS2,62.2,56.0,7.05,7.08,4.39,8758
8866,8866,0.9,Very Good,F,SI1,62.6,59.0,6.14,6.19,3.86,4054
7810,7810,0.2,Good,F,VS2,58.0,65.0,3.95,3.95,2.31,367
4471,4471,1.51,Good,J,VS2,63.8,58.0,7.21,7.18,4.59,7911
5168,5168,0.32,Very Good,E,SI1,61.6,61.0,4.4,4.37,2.7,504
4348,4348,0.55,Ideal,F,SI2,62.2,55.0,5.27,5.29,3.28,1142
7903,7903,0.51,Ideal,G,VS2,60.6,57.0,5.18,5.21,3.15,1446
3626,3626,1.22,Premium,G,VS2,60.7,58.0,6.88,6.96,4.2,8216
1789,1789,1.0,Premium,F,SI1,62.1,59.0,6.34,6.3,3.92,4742
8293,8293,1.56,Premium,H,SI1,61.1,59.0,7.56,7.51,4.61,10236
2059,2059,1.01,Very Good,I,SI1,62.7,57.0,6.41,6.47,4.04,4269
4013,4013,0.32,Ideal,D,VVS2,63.0,56.0,4.39,4.42,2.77,1066
1902,1902,1.01,Premium,F,VS2,62.1,59.0,6.43,6.37,3.97,6596
5573,5573,0.41,Very Good,F,VVS2,62.7,59.0,4.74,4.77,2.99,1196
6925,6925,0.35,Ideal,F,SI1,62.3,57.0,4.53,4.48,2.81,705
75,75,1.29,Ideal,J,SI1,60.5,57.0,7.11,7.05,4.27,6289
2345,2345,1.21,Premium,F,SI2,60.4,59.0,6.86,6.89,4.16,5949
5484,5484,2.01,Ideal,G,SI2,60.7,57.0,8.06,8.12,4.93,17805
430,430,0.3,Ideal,D,VS2,62.2,57.0,4.32,4.36,2.7,710
4586,4586,2.01,Premium,H,SI2,62.6,59.0,8.03,7.94,5.01,12970
8099,8099,0.29,Ideal,E,VVS1,62.6,55.0,4.23,4.2,2.64,799
8457,8457,0.33,Premium,H,VS1,63.0,58.0,4.43,4.4,2.78,666
8156,8156,0.38,Premium,D,VVS2,61.4,58.0,4.65,4.72,2.87,1017
7893,7893,0.9,Ideal,E,SI1,62.1,56.0,6.17,6.24,3.85,4140
1553,1553,2.01,Very Good,J,VS1,59.5,59.0,8.23,8.29,4.91,16068
240,240,0.5,Ideal,G,VS1,61.5,56.0,5.11,5.15,3.16,1752
783,783,0.7,Very Good,E,SI1,63.1,57.0,5.63,5.69,3.57,2771
3066,3066,1.04,Ideal,D,VVS2,61.9,57.0,6.5,6.51,4.03,10967
977,977,1.2,Ideal,F,VS1,61.8,57.0,6.78,6.83,4.21,9425
2941,2941,0.71,Premium,F,SI1,61.2,59.0,5.71,5.72,3.49,2368
5377,5377,0.91,Fair,F,SI2,64.9,56.0,6.09,6.14,3.93,3688
4730,4730,0.3,Ideal,E,VVS1,62.0,56.0,4.28,4.31,2.66,865
1620,1620,1.59,Premium,E,SI2,61.6,58.0,7.47,7.43,4.58,10396
2146,2146,0.32,Ideal,F,IF,61.4,54.0,4.41,4.46,2.72,979
1801,1801,1.05,Good,D,VS2,63.8,56.0,6.41,6.46,4.1,6579
2095,2095,0.5,Fair,E,SI1,64.9,57.0,5.01,4.97,3.24,2600
6074,6074,0.32,Ideal,H,VS1,61.6,57.0,4.37,4.4,2.7,561
5245,5245,0.5,Very Good,F,SI1,60.9,59.0,5.08,5.06,3.09,1203
1357,1357,2.18,Premium,F,SI2,62.1,59.0,8.38,8.26,5.16,12377
8063,8063,1.0,Very Good,I,SI2,60.3,63.0,6.45,6.41,3.88,3578
6050,6050,0.41,Ideal,F,IF,61.2,56.0,4.81,4.86,2.96,1439
8368,8368,1.52,Very Good,I,I1,62.4,61.0,7.31,7.26,4.55,6545
6017,6017,0.75,Premium,D,SI1,61.7,59.0,5.84,5.8,3.59,3024
9932,9932,0.33,Ideal,E,VS2,61.8,54.0,4.47,4.43,2.75,928
8770,8770,2.03,Good,I,VS1,60.0,62.0,8.18,8.25,4.85,18066
7503,7503,0.9,Very Good,F,SI1,63.1,58.0,6.16,6.12,3.88,4168
1609,1609,0.34,Premium,E,SI1,60.7,58.0,4.53,4.49,2.74,765
3096,3096,0.41,Very Good,F,SI2,62.8,58.0,4.71,4.74,2.97,583
9772,9772,0.71,Very Good,I,SI2,62.9,58.0,5.65,5.7,3.57,1899
2415,2415,1.21,Premium,G,SI1,62.7,55.0,6.79,6.74,4.24,6738
2017,2017,0.5,Ideal,D,SI1,62.0,58.0,5.07,5.1,3.15,1569
6018,6018,0.41,Very Good,F,VS2,62.7,58.0,4.72,4.75,2.97,829
4125,4125,1.2,Premium,I,SI1,61.9,57.0,6.8,6.84,4.22,5292
9803,9803,1.01,Premium,E,VS1,61.2,59.0,6.5,6.56,3.98,7094
3246,3246,2.02,Very Good,J,VS2,58.0,61.0,8.46,8.39,4.89,17052
124,124,0.32,Very Good,H,VS1,63.8,57.0,4.35,4.3,2.76,720
6425,6425,0.52,Ideal,E,SI2,62.0,55.0,5.16,5.2,3.21,1421
5308,5308,0.96,Ideal,F,SI2,62.4,56.0,6.23,6.3,3.9,4488
7463,7463,0.3,Ideal,H,SI1,62.2,53.0,4.28,4.3,2.66,453
9158,9158,0.68,Premium,E,SI1,61.6,59.0,5.67,5.64,3.49,2184
3341,3341,0.34,Ideal,G,VVS2,60.4,57.0,4.52,4.55,2.74,752
598,598,0.3,Ideal,F,VVS1,62.0,56.0,4.27,4.3,2.66,742
2123,2123,1.01,Fair,G,VS1,64.9,60.0,6.34,6.23,4.05,6356
9499,9499,1.04,Ideal,E,VS1,61.2,56.0,6.51,6.56,4.0,8388
7685,7685,1.55,Ideal,G,SI1,61.2,55.0,7.44,7.49,4.58,11431
7049,7049,1.06,Ideal,H,SI1,61.7,55.0,6.54,6.57,4.04,4773
9662,9662,0.63,Ideal,F,VS1,61.6,56.0,5.49,5.53,3.39,2270
2197,2197,1.04,Ideal,D,SI2,61.7,56.0,6.51,6.53,4.02,4978
4051,4051,1.22,Premium,H,SI1,59.6,59.0,6.97,6.94,4.15,5799
6054,6054,0.91,Good,G,SI1,63.6,61.0,6.12,6.08,3.87,3283
3362,3362,0.37,Ideal,E,SI1,61.9,53.0,4.62,4.66,2.87,649
6851,6851,0.33,Ideal,H,VS2,62.3,57.0,4.41,4.45,2.76,517
725,725,2.03,Ideal,H,SI2,62.1,57.0,8.14,8.06,5.03,12631
4934,4934,0.54,Ideal,E,SI2,61.2,56.0,5.27,5.31,3.22,1240
978,978,0.72,Premium,F,SI2,61.7,62.0,5.75,5.7,3.54,2309
808,808,0.43,Premium,G,SI1,61.3,58.0,4.87,4.78,2.96,968
9604,9604,0.92,Ideal,H,VS2,60.9,57.0,6.29,6.35,3.85,5029
1475,1475,0.31,Ideal,I,VS2,60.6,57.0,4.33,4.37,2.63,435
5935,5935,0.56,Premium,E,VS2,61.0,59.0,5.34,5.28,3.25,1920
9037,9037,0.42,Premium,F,SI1,62.7,56.0,4.81,4.76,3.0,992
7335,7335,0.77,Premium,D,SI2,59.6,60.0,6.03,5.98,3.6,2889
3962,3962,0.9,Very Good,D,SI1,62.1,60.0,6.09,6.12,3.79,4381
6422,6422,0.31,Ideal,H,VVS2,61.8,54.0,4.42,4.38,2.72,650
4905,4905,0.31,Very Good,F,VS2,61.8,57.0,4.33,4.36,2.68,500
1235,1235,0.57,Ideal,E,VS2,61.2,55.0,5.35,5.39,3.27,1689
1225,1225,1.52,Good,D,SI1,61.1,61.0,7.31,7.41,4.49,11487
8049,8049,0.51,Ideal,D,SI1,61.5,54.0,5.15,5.18,3.18,1668
9279,9279,1.19,Very Good,G,VS2,62.9,58.0,6.8,6.87,4.28,6892
8672,8672,1.2,Very Good,I,SI1,63.1,55.0,6.75,6.71,4.24,5073
5229,5229,0.36,Ideal,F,VS2,61.3,56.0,4.57,4.61,2.82,752
6950,6950,0.32,Premium,G,VVS1,62.6,58.0,4.38,4.33,2.73,1080
3217,3217,0.31,Ideal,D,VS2,62.4,56.0,4.29,4.33,2.69,734
287,287,0.76,Very Good,H,SI2,61.9,56.0,5.89,5.85,3.63,2337
5023,5023,0.52,Ideal,E,SI1,61.9,55.0,5.17,5.19,3.21,1370
2966,2966,1.01,Premium,G,SI1,60.1,60.0,6.48,6.45,3.89,5096
3164,3164,0.71,Ideal,H,SI2,61.7,58.0,5.7,5.67,3.51,2056
6003,6003,0.35,Ideal,G,IF,61.6,57.0,4.56,4.53,2.8,1084
8888,8888,0.41,Ideal,F,SI1,61.4,57.0,4.83,4.77,2.95,1015
1657,1657,0.4,Very Good,E,VVS1,62.5,58.0,4.64,4.71,2.92,1333
1975,1975,0.37,Good,F,SI1,62.4,59.0,4.56,4.59,2.86,616
2397,2397,0.7,Ideal,D,VS1,62.4,56.0,5.65,5.7,3.54,3581
452,452,1.51,Premium,G,SI1,59.7,59.0,7.53,7.43,4.44,11209
8030,8030,0.52,Good,H,VS1,63.8,56.0,5.08,5.12,3.26,1627
4696,4696,0.9,Very Good,I,VS1,61.1,58.0,6.25,6.29,3.83,3862
3681,3681,1.5,Very Good,J,VS1,59.6,61.0,7.38,7.35,4.41,7744
422,422,0.73,Ideal,G,VS1,61.7,54.0,5.79,5.84,3.59,3332
9726,9726,0.34,Ideal,H,VS2,60.2,57.0,4.57,4.53,2.74,689
657,657,1.01,Very Good,I,SI1,60.5,61.0,6.48,6.44,3.91,4199
3301,3301,1.09,Ideal,F,SI2,62.5,56.0,6.6,6.56,4.11,4811
6394,6394,1.22,Very Good,J,SI2,63.5,57.0,6.78,6.71,4.28,4542
2845,2845,1.22,Ideal,H,VS1,61.4,57.0,6.87,6.89,4.22,7487
8291,8291,0.79,Ideal,E,SI2,61.7,57.0,5.92,5.98,3.67,2870
7497,7497,1.3,Ideal,G,SI2,62.3,57.0,6.89,6.95,4.31,6355
1001,1001,0.3,Premium,H,VS1,62.6,59.0,4.29,4.25,2.67,630
4198,4198,0.52,Ideal,F,VVS2,62.3,55.0,5.12,5.12,3.19,2012
2418,2418,0.31,Ideal,G,VS1,60.6,57.0,4.36,4.39,2.65,666
7482,7482,0.34,Ideal,G,VS1,62.1,55.0,4.48,4.45,2.77,752
5706,5706,0.36,Very Good,D,SI1,60.7,63.0,4.56,4.59,2.78,681
3847,3847,0.47,Very Good,E,VS1,61.8,60.0,4.96,5.01,3.09,1850
961,961,0.32,Ideal,H,VVS1,61.7,55.0,4.41,4.43,2.72,716
1580,1580,1.56,Premium,H,SI1,61.0,58.0,7.44,7.47,4.54,8524
5007,5007,1.03,Good,F,SI1,63.1,60.0,6.36,6.43,4.03,5050
2206,2206,1.22,Ideal,I,SI2,62.3,57.0,6.77,6.83,4.24,5359
6312,6312,0.51,Ideal,F,VS2,61.9,55.0,5.14,5.18,3.19,1447
9563,9563,0.3,Very Good,F,IF,61.5,58.0,4.31,4.33,2.66,886
4231,4231,0.32,Premium,G,VS1,60.3,58.0,4.4,4.42,2.66,645
757,757,0.3,Premium,G,VS2,61.6,58.0,4.25,4.22,2.62,630
2284,2284,0.32,Ideal,I,VS1,61.9,55.6,4.41,4.44,2.74,529
6663,6663,0.52,Ideal,G,VS1,62.3,54.0,5.18,5.13,3.22,1815
4755,4755,0.34,Premium,D,SI1,60.5,60.0,4.53,4.51,2.73,803
8211,8211,1.01,Very Good,F,SI1,61.3,57.0,6.39,6.43,3.93,5192
807,807,1.08,Ideal,F,SI1,62.5,57.0,6.54,6.59,4.1,5665
6575,6575,0.3,Premium,G,VS1,61.5,58.0,4.29,4.31,2.65,776
7719,7719,1.08,Ideal,H,SI1,61.2,56.0,6.64,6.61,4.05,5455
1956,1956,1.0,Premium,E,SI1,59.1,60.0,6.56,6.58,3.88,5177
2445,2445,0.5,Ideal,D,VVS2,61.8,57.0,5.12,5.1,3.15,2376
5875,5875,0.32,Premium,I,SI1,61.6,59.0,4.35,4.37,2.68,421
8163,8163,0.32,Ideal,G,VS1,61.2,56.0,4.4,4.44,2.71,645
6138,6138,0.32,Ideal,H,VVS2,62.5,54.0,4.38,4.36,2.73,828
2402,2402,0.57,Ideal,G,VS1,61.4,56.0,5.34,5.4,3.3,1894
1073,1073,0.41,Premium,F,VS1,61.3,59.0,4.8,4.75,2.93,1076
6557,6557,0.9,Very Good,H,VS1,60.0,53.0,6.28,6.31,3.77,4840
4240,4240,0.56,Ideal,E,SI1,62.6,57.0,5.29,5.23,3.29,1698
8510,8510,0.27,Ideal,I,VVS2,62.3,54.5,4.15,4.19,2.6,472
2091,2091,1.0,Good,H,SI1,57.8,62.0,6.53,6.51,3.77,4326
4527,4527,0.36,Ideal,D,VS1,61.8,56.0,4.54,4.56,2.81,1066
7202,7202,0.32,Ideal,G,VS1,62.4,54.0,4.39,4.37,2.73,645
6795,6795,1.05,Ideal,E,VS1,61.2,57.0,6.53,6.54,4.0,7924
7237,7237,2.03,Ideal,I,SI1,61.6,56.0,8.16,8.12,5.0,12637
7422,7422,0.7,Ideal,H,VS2,61.0,56.0,5.74,5.76,3.51,2558
6849,6849,0.9,Ideal,F,SI1,62.2,56.0,6.12,6.17,3.83,4661
6836,6836,1.29,Ideal,F,SI2,61.9,55.0,6.96,6.99,4.32,6068
1003,1003,0.34,Ideal,F,VVS2,62.6,55.0,4.49,4.44,2.8,894
9100,9100,0.36,Premium,F,SI1,60.7,59.0,4.64,4.61,2.8,631
6562,6562,0.52,Ideal,G,VVS2,61.5,56.0,5.18,5.21,3.19,1919
5614,5614,0.59,Ideal,G,VVS2,62.0,55.0,5.36,5.39,3.33,2029
4651,4651,1.52,Very Good,I,SI1,62.9,59.0,7.31,7.34,4.62,8831
5313,5313,0.83,Ideal,F,SI2,62.6,57.0,6.03,5.96,3.75,2811
1485,1485,0.35,Ideal,G,IF,61.5,56.0,4.53,4.55,2.79,946
7607,7607,2.04,Premium,I,SI1,60.3,60.0,8.19,8.13,4.93,14507
1411,1411,0.72,Very Good,H,VS2,62.9,56.0,5.7,5.75,3.6,2450
9304,9304,1.16,Premium,F,VS1,61.4,59.0,6.79,6.75,4.16,9032
709,709,1.07,Ideal,I,SI1,62.1,54.0,6.59,6.56,4.08,5141
8959,8959,1.24,Premium,H,SI1,62.8,58.0,6.84,6.8,4.28,5646
8042,8042,0.33,Premium,G,VS2,61.2,58.0,4.45,4.48,2.73,579
7211,7211,0.71,Very Good,I,VVS1,62.3,57.0,5.7,5.7,3.55,2421
3076,3076,1.5,Premium,I,VS2,62.3,58.0,7.36,7.33,4.57,9012
8314,8314,0.25,Very Good,F,VS1,60.9,56.0,4.08,4.12,2.51,499
4101,4101,1.11,Ideal,D,SI2,62.1,57.0,6.62,6.64,4.11,5416
5114,5114,1.0,Good,F,VS2,59.2,62.0,6.52,6.56,3.87,6487
2722,2722,1.01,Very Good,E,VS1,61.0,58.0,6.41,6.45,3.92,8022
